##Databases: PANTHER, KEGG PATHWAY, BioCyc
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Fructose galactose metabolism	PANTHER	P02744	3	5	0.000804714209077	0.0221662186682	830052|828758|816672	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02744
photosynthesis light reactions	BioCyc	PWY-101	5	8	0.00123399147285	0.0311582846895	827146|828183|838591|827996|836751	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-101
methylerythritol phosphate pathway	BioCyc	NONMEVIPP-PWY	5	9	0.00181179684495	0.042228803386	842700|836181|814779|827146|836400	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=NONMEVIPP-PWY
Biosynthesis of secondary metabolites	KEGG PATHWAY	ath01110	86	995	0.00203172960115	0.0439724335107	839009|816553|842700|837509|842478|840067|822590|817485|817481|816672|836181|841029|833471|831255|821333|836838|814779|820665|832042|829854|819219|838468|829413|830154|817847|824572|824678|830724|830457|820461|824861|817626|834012|827575|834883|823899|837725|825516|835806|827655|825450|827991|831207|830302|815998|835334|836625|838621|834835|834633|828758|839932|830343|832497|843129|830052|841088|822232|831500|831587|829617|818012|821206|823850|830881|817589|827580|833559|816697|839660|818212|830368|836400|842805|820722|819284|816765|817479|835168|830372|831568|817195|818964|843810|829886|842814	http://www.genome.jp/kegg-bin/show_pathway?ath01110/ath:AT2G21330%09red/ath:AT1G45191%09red/ath:AT1G61810%09red/ath:AT2G29300%09red/ath:AT1G31800%09red/ath:AT5G10170%09red/ath:AT5G60600%09red/ath:AT4G37000%09red/ath:AT2G26540%09red/ath:AT2G22330%09red/ath:AT2G46720%09red/ath:AT4G34650%09red/ath:AT1G20330%09red/ath:AT5G04230%09red/ath:AT1G64970%09red/ath:AT5G08280%09red/ath:AT5G57030%09red/ath:AT5G48300%09red/ath:AT5G47840%09red/ath:AT4G32770%09red/ath:AT1G11790%09red/ath:AT2G30390%09red/ath:AT5G17230%09red/ath:AT1G09795%09red/ath:AT2G29320%09red/ath:AT5G40150%09red/ath:AT2G43620%09red/ath:AT4G01690%09red/ath:AT5G05730%09red/ath:AT2G46110%09red/ath:AT3G18080%09red/ath:AT2G20340%09red/ath:AT5G65010%09red/ath:AT5G04885%09red/ath:AT3G26290%09red/ath:AT5G67030%09red/ath:AT3G02870%09red/ath:AT2G36390%09red/ath:AT3G14420%09red/ath:AT1G68010%09red/ath:AT4G39950%09red/ath:AT5G45930%09red/ath:AT5G52570%09red/ath:AT1G65060%09red/ath:AT5G04660%09red/ath:AT5G16390%09red/ath:AT4G26520%09red/ath:AT3G62750%09red/ath:AT1G03630%09red/ath:AT3G54050%09red/ath:AT5G50950%09red/ath:AT3G63410%09red/ath:AT5G35170%09red/ath:AT4G18480%09red/ath:AT3G12780%09red/ath:AT4G37310%09red/ath:AT3G14930%09red/ath:AT3G47450%09red/ath:AT5G24300%09red/ath:AT2G15090%09red/ath:AT3G46970%09red/ath:AT1G74710%09red/ath:AT5G13630%09red/ath:AT3G56940%09red/ath:AT2G21590%09red/ath:AT5G19220%09red/ath:AT2G30750%09red/ath:AT5G14060%09red/ath:AT1G44446%09red/ath:AT2G34490%09red/ath:AT2G29360%09red/ath:AT5G35790%09red/ath:AT5G62790%09red/ath:AT1G27680%09red/ath:AT1G63970%09red/ath:AT5G17050%09red/ath:AT1G30520%09red/ath:AT2G32860%09red/ath:AT3G29320%09red/ath:AT4G18440%09red/ath:AT4G38970%09red/ath:AT4G19170%09red/ath:AT2G02500%09red/ath:AT1G18870%09red/ath:AT3G55120%09red/ath:AT5G04900%09red
Calvin-Benson-Bassham cycle	BioCyc	CALVIN-PWY	9	34	0.00222795339783	0.0450046586361	837848|828758|820461|824572|833828|825414|830052|816672|840098	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=CALVIN-PWY
Carbon fixation in photosynthetic organisms	KEGG PATHWAY	ath00710	12	69	0.00261284681573	0.0494807865728	837848|828758|820461|833828|824572|816672|818860|833830|830052|835945|840098|840895	http://www.genome.jp/kegg-bin/show_pathway?ath00710/ath:AT3G12780%09red/ath:AT2G21330%09red/ath:AT5G38410%09red/ath:AT5G38430%09red/ath:AT4G26520%09red/ath:AT2G42600%09red/ath:AT1G42970%09red/ath:AT1G12900%09red/ath:AT5G58330%09red/ath:AT1G32060%09red/ath:AT3G54050%09red/ath:AT4G38970%09red
Carotenoid biosynthesis	KEGG PATHWAY	ath00906	7	29	0.00440951737052	0.0785931625452	841670|831587|836838|835806|827655|840067|835334	http://www.genome.jp/kegg-bin/show_pathway?ath00906/ath:AT4G19170%09red/ath:AT5G17230%09red/ath:AT5G52570%09red/ath:AT5G57030%09red/ath:AT5G67030%09red/ath:AT1G31800%09red/ath:AT1G52400%09red
Fatty acid biosynthesis	KEGG PATHWAY	ath00061	8	40	0.00639808055067	0.107701022603	843835|819553|819337|844094|816756|841367|831500|831484	http://www.genome.jp/kegg-bin/show_pathway?ath00061/ath:AT1G49430%09red/ath:AT5G16240%09red/ath:AT5G16390%09red/ath:AT1G77590%09red/ath:AT2G47240%09red/ath:AT3G03980%09red/ath:AT1G74960%09red/ath:AT2G22230%09red
Ubiquinone and other terpenoid-quinone biosynthesis	KEGG PATHWAY	ath00130	7	32	0.00697548319727	0.110822102237	839932|825516|838468|829413|843810|842805|842814	http://www.genome.jp/kegg-bin/show_pathway?ath00130/ath:AT1G65060%09red/ath:AT3G63410%09red/ath:AT1G30520%09red/ath:AT1G74710%09red/ath:AT4G32770%09red/ath:AT1G18870%09red/ath:AT1G64970%09red
superpathay of heme biosynthesis from glutamate	BioCyc	PWY-5918	6	20	0.00731499024667	0.110822102237	839009|820722|817589|817195|830724|827991	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5918
superpathway of proto- and siroheme biosynthesis	BioCyc	PWYQT-62	6	21	0.00887024091674	0.127984904656	839009|820722|817589|817195|830724|827991	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWYQT-62
1,4-dihydroxy-2-naphthoate biosynthesis II (plants)	BioCyc	PWY-5791	3	5	0.0140410355115	0.184975380869	843810|839932|838468	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5791
zeaxanthin, antheraxanthin and violaxanthin interconversion	BioCyc	PWY-5945	3	5	0.0140410355115	0.184975380869	818135|836838|823942	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5945
coumarin biosynthesis (via 2-coumarate)	BioCyc	PWY-5176	9	49	0.016830143771	0.212480565109	817847|841670|841088|830368|842478|3767578|3767579|825450|821332	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5176
chlorophyll cycle	BioCyc	PWY-5068	3	6	0.0199982668723	0.242378994492	830372|841029|827146	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5068
gluconeogenesis I	BioCyc	GLUCONEO-PWY	8	43	0.0222062070311	0.2587877204	828758|820461|824572|825414|830052|816672|835945|840098	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=GLUCONEO-PWY
Leucine biosynthesis	PANTHER	P02749	2	8	0.026103830413	0.292942985746	832366|832365	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02749
Heme biosynthesis	PANTHER	P02746	2	9	0.0314039456216	0.328882066083	820722|817589	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02746
phaselate biosynthesis	BioCyc	PWY-6320	4	14	0.0314771614403	0.328882066083	836850|832459|824189|842814	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6320
sucrose biosynthesis I (from photosynthesis)	BioCyc	SUCSYN-PWY	7	38	0.0328081827475	0.33136264575	828758|820461|824572|825414|830052|816672|840098	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=SUCSYN-PWY
heme biosynthesis from uroporphyrinogen-III I	BioCyc	HEME-BIOSYNTHESIS-II	3	8	0.0354376058404	0.346374018376	827991|820722|817589	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=HEME-BIOSYNTHESIS-II
Glucosinolate biosynthesis	KEGG PATHWAY	ath00966	4	19	0.0430273589103	0.380666187124	832366|816765|832365|830154	http://www.genome.jp/kegg-bin/show_pathway?ath00966/ath:AT4G39950%09red/ath:AT5G23020%09red/ath:AT2G22330%09red/ath:AT5G23010%09red
simple coumarins biosynthesis	BioCyc	PWY-5868	4	16	0.0447207647151	0.380666187124	836850|832459|824189|842814	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5868
chlorogenic acid biosynthesis II	BioCyc	PWY-6040	3	9	0.0448921635143	0.380666187124	836850|832459|824189	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6040
hydrogen production VIII	BioCyc	PWY-6785	3	9	0.0448921635143	0.380666187124	828183|827996|827146	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6785
Cyanoamino acid metabolism	KEGG PATHWAY	ath00460	8	60	0.0452276657969	0.380666187124	817847|841088|830118|830368|842478|829911|825450|821333	http://www.genome.jp/kegg-bin/show_pathway?ath00460/ath:AT3G18080%09red/ath:AT4G39640%09red/ath:AT1G45191%09red/ath:AT1G61810%09red/ath:AT2G32860%09red/ath:AT3G62750%09red/ath:AT5G04885%09red/ath:AT4G37560%09red
Fatty acid metabolism	KEGG PATHWAY	ath01212	9	73	0.050916429246	0.416964271933	843835|819553|820828|819337|844094|816756|841367|831500|831484	http://www.genome.jp/kegg-bin/show_pathway?ath01212/ath:AT3G15850%09red/ath:AT1G49430%09red/ath:AT5G16240%09red/ath:AT5G16390%09red/ath:AT1G77590%09red/ath:AT2G47240%09red/ath:AT3G03980%09red/ath:AT1G74960%09red/ath:AT2G22230%09red
volatile benzenoid biosynthesis I (ester formation)	BioCyc	PWY-4203	3	10	0.0554589738768	0.442212344333	840335|821753|824243	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-4203
glycolysis I (from glucose-6P)	BioCyc	GLYCOLYSIS	7	45	0.0642730899557	0.499352468117	828758|820461|824572|825414|830052|816672|840098	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=GLYCOLYSIS
abscisic acid glucose ester biosynthesis	BioCyc	PWY-5272	3	11	0.0670898226185	0.503280419473	821730|821729|837058	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5272
glycolysis II (from fructose-6P)	BioCyc	PWY-5484	7	46	0.0698799255345	0.503280419473	828758|820461|824572|825414|830052|816672|840098	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5484
superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	BioCyc	PWY-5121	5	28	0.073265232398	0.503280419473	842700|836181|814779|827146|836400	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5121
Biotin metabolism	KEGG PATHWAY	ath00780	3	14	0.0744245907161	0.503280419473	819553|816756|843835	http://www.genome.jp/kegg-bin/show_pathway?ath00780/ath:AT3G03980%09red/ath:AT2G22230%09red/ath:AT1G74960%09red
myo-inositol biosynthesis	BioCyc	PWY-2301	2	5	0.0790418136214	0.503280419473	830881|821206	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-2301
glucosinolate breakdown (via thiocyanate-forming protein)	BioCyc	PWY-6684	2	5	0.0790418136214	0.503280419473	832667|832669	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6684
glutamate-glutamine shuttle	BioCyc	PWY-7061	2	5	0.0790418136214	0.503280419473	833535|827146	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-7061
trans-lycopene biosynthesis II (plants)	BioCyc	PWY-6475	2	5	0.0790418136214	0.503280419473	842152|831587	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6475
tetrapyrrole biosynthesis I (from glutamate)	BioCyc	PWY-5188	3	12	0.0797275912037	0.503280419473	830724|817195|839009	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5188
indole-3-acetate biosynthesis II	BioCyc	PWY-581	3	13	0.0933084076347	0.57574996446	816765|826956|830154	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-581
ammonia assimilation cycle II	BioCyc	PWY-6964	2	6	0.100708739658	0.57574996446	833535|827146	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6964
glucosinolate breakdown	BioCyc	PWY-5267	2	6	0.100708739658	0.57574996446	832667|832669	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5267
volatile esters biosynthesis (during fruit ripening)	BioCyc	PWY-6801	2	6	0.100708739658	0.57574996446	840335|824243	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6801
methyl indole-3-acetate interconversion	BioCyc	PWY-6303	2	6	0.100708739658	0.57574996446	841839|820257	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6303
@@methyl indole-3-acetate interconversion	BioCyc	PWY0A-6303	1	9	0.510737956034	0.899730236502	820257	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY0A-6303
chlorogenic acid biosynthesis I	BioCyc	PWY-6039	3	14	0.107763496662	0.60467295349	836850|832459|824189	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6039
Arachidonic acid metabolism	KEGG PATHWAY	ath00590	3	17	0.109767361144	0.604718371393	817046|830118|815261	http://www.genome.jp/kegg-bin/show_pathway?ath00590/ath:AT4G39640%09red/ath:AT2G06925%09red/ath:AT2G25080%09red
superpathway of ammonia assimilation (plants)	BioCyc	PWY-3282	2	7	0.12376887474	0.669678018681	833535|827146	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-3282
superpathway of fatty acid biosynthesis II (plant)	BioCyc	PWY-5156	5	34	0.127779785784	0.67925044022	831500|816756|831484|827146|843835	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5156
glycolysis IV (plant cytosol)	BioCyc	PWY-1042	6	45	0.136580343802	0.710191947327	828758|820461|825414|830052|816672|840098	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-1042
phenylpropanoid biosynthesis	BioCyc	PWY-361	5	35	0.138288200965	0.710191947327	836850|832459|824189|842814|829954	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-361
@@Phenylpropanoid biosynthesis	KEGG PATHWAY	ath00940	9	154	0.626154736252	0.932855049838	817847|842478|830368|834012|841088|830302|825450|821333|842814	http://www.genome.jp/kegg-bin/show_pathway?ath00940/ath:AT3G18080%09red/ath:AT1G65060%09red/ath:AT5G40150%09red/ath:AT1G45191%09red/ath:AT1G61810%09red/ath:AT5G04230%09red/ath:AT2G32860%09red/ath:AT3G62750%09red/ath:AT5G04885%09red
De novo purine biosynthesis	PANTHER	P02738	2	24	0.14671119618	0.714763380565	833471|827575	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02738
quercetin glycoside biosynthesis (Arabidopsis)	BioCyc	PWY-5321	2	8	0.147928063053	0.714763380565	821729|839933	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5321
Ascorbate degradation	PANTHER	P02729	1	5	0.148320957074	0.714763380565	816675	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02729
adenosine ribonucleotides de novo biosynthesis	BioCyc	PWY-7219	4	26	0.148614168236	0.714763380565	825797|833471|827575|834835	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-7219
Peroxisome	KEGG PATHWAY	ath04146	8	81	0.151990984941	0.719582319328	819337|815975|841367|823580|818877|844094|841720|820665	http://www.genome.jp/kegg-bin/show_pathway?ath04146/ath:AT1G49430%09red/ath:AT3G14420%09red/ath:AT3G44550%09red/ath:AT1G52870%09red/ath:AT2G47240%09red/ath:AT2G14860%09red/ath:AT2G42770%09red/ath:AT1G77590%09red
detoxification of reactive carbonyls in chloroplasts	BioCyc	PWY-6786	3	17	0.155644739494	0.725543939487	838984|831560|831562	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6786
Tryptophan metabolism	KEGG PATHWAY	ath00380	5	45	0.16907370883	0.770537655257	832667|816765|826956|830154|832669	http://www.genome.jp/kegg-bin/show_pathway?ath00380/ath:AT4G39950%09red/ath:AT4G13260%09red/ath:AT5G26000%09red/ath:AT2G22330%09red/ath:AT5G25980%09red
Threonine biosynthesis	PANTHER	P02781	1	6	0.17091191312	0.770537655257	831255	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02781
@@threonine biosynthesis	BioCyc	THRESYN-PWY	1	11	0.575972471865	0.930929821309	831255	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=THRESYN-PWY
chlorophyll a degradation I	BioCyc	PWY-5098	2	9	0.172925942434	0.770537655257	826580|829854	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5098
Thiamine metabolism	KEGG PATHWAY	ath00730	2	11	0.175770442736	0.771861509404	835567|2746218	http://www.genome.jp/kegg-bin/show_pathway?ath00730/ath:AT5G54770%09red/ath:AT5G66005%09red
Steroid biosynthesis	KEGG PATHWAY	ath00100	4	34	0.182547035309	0.780361880907	838621|829617|818012|828374	http://www.genome.jp/kegg-bin/show_pathway?ath00100/ath:AT4G34650%09red/ath:AT4G22756%09red/ath:AT1G20330%09red/ath:AT2G34490%09red
glycolysis VI (metazoan)	BioCyc	PWY66-400	6	50	0.186495770078	0.780361880907	828758|820461|825414|830052|816672|840098	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY66-400
